Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
399900,обл,Липецкая,р-н,Чаплыгинский,г,Чаплыгин,,,4801800100000,4aed94c2-977d-41cc-bc72-312026ec4117,4: город,1,42256501000,42656101,4813,UTC+3,53.2404794,39.9671563,Центральный,12656
431350,Респ,Мордовия,,,г,Ковылкино,,,1300000200000,53445e0f-9d61-4359-9f4f-4983ff7aec34,4: город,1,89410000000,89629101001,1323,UTC+3,54.0391464,43.9191229,Приволжский,21307
140170,обл,Московская,,,г,Бронницы,,,5000000200000,582fae29-5955-4dba-9f77-ebf9a8e60827,4: город,0,46405000000,46705000001,5040,UTC+3,55.4255534,38.2640794,Центральный,21102
141650,обл,Московская,р-н,Клинский,г,Высоковск,,,5001100200000,a8ad4e79-a4c9-4f2e-ade5-a7fa3ab0da03,4: город,0,46221503000,46621103001,5020,UTC+3,56.336141,36.5251316,Центральный,10642
143040,обл,Московская,р-н,Одинцовский,г,Голицыно,,,5002200300000,963efb34-c804-43b4-9298-8e145d188ed0,4: город,0,46241504000,46641104001,5032,UTC+3,55.6189762,36.9855559,Центральный,17447
141700,обл,Московская,,,г,Долгопрудный,,,5000002900000,dcf522ad-e032-4db9-9dbb-e30d2cddfadb,4: город,0,46416000000,46716000,5047,UTC+3,55.9384901,37.5100527,Центральный,90976
140500,обл,Московская,р-н,Луховицкий,г,Луховицы,,,5001600100000,7c6d9ebf-8b6a-4435-a174-eb8018f7c598,4: город,1,46230501000,46630101001,5072,UTC+3,54.9651617,39.0261346,Центральный,29849
140080,обл,Московская,,,г,Лыткарино,,,5000001300000,bba16a72-09e1-4f3f-93af-df5ecab6714b,4: город,0,46441000000,46741000,5027,UTC+3,55.5778065,37.9034952,Центральный,55147
140000,обл,Московская,р-н,Люберецкий,г,Люберцы,,,5001700100000,427b4e19-f221-4abc-8904-81f7409c1ce3,4: город,1,46231501000,46631101001,5027,UTC+3,55.700416,37.9606496,Центральный,171978
141000,обл,Московская,,,г,Мытищи,,,5000004400000,5f290be7-14ff-4ccd-8bc8-2871a9ca9d5f,4: город,0,46446000000,46746000001,5000,UTC+3,55.9104647,37.7363702,Центральный,173341
140560,обл,Московская,,,г,Озеры,,,5000004000000,e778b800-b432-4150-82fd-d415911fb700,4: город,0,46456000000,46756000001,5022,UTC+3,54.8539944,38.55987,Центральный,25788
184200,обл,Мурманская,,,г,Апатиты,,,5100000200000,f0851e80-59d9-400b-b6d5-5f5f623bb29d,4: город,0,47405000000,47705000,5118,UTC+3,67.5678295,33.4067218,Северо-Западный,59690
184430,обл,Мурманская,р-н,Печенгский,г,Заполярный,,,5100500200000,304cb068-e1d1-4947-944f-07c38cd8db6e,4: город,0,47215503000,47615103001,5105,UTC+3,69.413232,30.7985332,Северо-Западный,15835
184230,обл,Мурманская,,,г,Полярные Зори,,,5100000900000,d70b2917-8cea-4555-a9fe-6d2c72d8d9cc,4: город,0,47419000000,47719000,5102,UTC+3,67.3730192,32.497541,Северо-Западный,15106
184650,обл,Мурманская,,,г,Полярный,,,5100001000000,a4ae6202-6ec6-4bc6-abc5-4ecd6ca96d53,4: город,0,47525000000,47737000005,5110,UTC+3,69.1988373,33.4509985,Северо-Западный,17304
607060,обл,Нижегородская,,,г,Выкса,,,5200000700000,d89942e8-e06b-46bd-a805-7cec8f77417e,4: город,1,22415000000,22715000001,5247,UTC+3,55.3207103,42.1679169,Приволжский,56196
606210,обл,Нижегородская,р-н,Лысковский,г,Лысково,,,5203000100000,978c4d8c-f724-43b1-aa95-0c1fc49dc6b7,4: город,1,22240501000,22640101,5222,UTC+3,56.0262298,45.0356702,Приволжский,21882
175040,обл,Новгородская,р-н,Солецкий,г,Сольцы,,,5301600100000,c2f4a34c-80b4-4aea-a45b-d932909cccc0,4: город,1,49238501000,49638101001,5332,UTC+3,58.1201693,30.309285,Северо-Западный,10317
632380,обл,Новосибирская,,,г,Куйбышев,,,5400000600000,1b70e712-092e-4c45-9984-af3a2c7cfdd7,4: город,0,50415000000,50630101001,5485,UTC+7,55.4684104,78.3241042,Сибирский,47278
632550,обл,Новосибирская,р-н,Чулымский,г,Чулым,,,5403000100000,bd136162-7404-4915-b456-239426f78b94,4: город,1,50259501000,50659101001,5485,UTC+7,55.0906205,80.9592152,Сибирский,11964
646100,обл,Омская,р-н,Называевский,г,Называевск,,,5501600100000,db2e2372-fed9-426b-a861-e64e2201f225,4: город,1,52413000000,52636101001,5514,UTC+6,55.5688811,71.3502572,Сибирский,12119
462240,обл,Оренбургская,,,г,Кувандык,,,5600000800000,7644221b-0ef9-40c3-8378-cb0e2299747e,4: город,0,53414000000,53714000001,5607,UTC+5,51.4784845,57.3612029,Приволжский,26176
462780,обл,Оренбургская,,,г,Ясный,,,5600001000000,c30ba5a3-1222-4fde-a8d0-ef2d8494e4c8,4: город,1,53432000000,53732000,5635,UTC+5,51.0369499,59.8743256,Приволжский,16082
303850,обл,Орловская,,,г,Ливны,,,5700000200000,aef2c735-2e21-42e5-8638-9667bade6a2b,4: город,0,54405000000,54705000,5743,UTC+3,52.4285122,37.603944,Центральный,50430
442960,обл,Пензенская,,,г,Заречный,,,5800000200000,ff38fc0c-d739-4627-a2f4-58af8f3d9d42,4: город,0,56534000000,56734000,5838,UTC+3,53.1961009,45.1691502,Приволжский,63579
619000,край,Пермский,,,г,Кудымкар,,,5900001400000,d36590ad-0286-44a2-876d-7732deee4234,4: город,0,57421000000,57851000001,5981,UTC+5,59.0168605,54.6573459,Приволжский,30711
618900,край,Пермский,,,г,Лысьва,,,5900001000000,5d7c95a5-a4d7-4fb4-9774-93e527636a9e,4: город,0,57427000000,57726000001,5918,UTC+5,58.0995987,57.8085728,Приволжский,67712
